eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-001,IYS2022-NW-2-1-CanTrawl-1-10,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-002,IYS2022-NW-2-1-CanTrawl-1-11,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-003,IYS2022-NW-2-1-CanTrawl-1-12,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-004,IYS2022-NW-2-1-CanTrawl-1-13,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-005,IYS2022-NW-2-1-CanTrawl-1-14,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-006,IYS2022-NW-2-1-CanTrawl-1-15,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-007,IYS2022-NW-2-1-CanTrawl-1-16,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-008,IYS2022-NW-2-1-CanTrawl-1-17,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-1-rr-009,IYS2022-NW-2-1-CanTrawl-1-18,is a subset of,IYS2022-NW-2-1-CanTrawl-1
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-010,IYS2022-NW-2-1-CanTrawl-2-1,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-011,IYS2022-NW-2-1-CanTrawl-2-2,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-012,IYS2022-NW-2-1-CanTrawl-2-3,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-013,IYS2022-NW-2-1-CanTrawl-2-4,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-014,IYS2022-NW-2-1-CanTrawl-2-5,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-015,IYS2022-NW-2-1-CanTrawl-2-6,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-016,IYS2022-NW-2-1-CanTrawl-2-7,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-017,IYS2022-NW-2-1-CanTrawl-2-8,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-2-rr-018,IYS2022-NW-2-1-CanTrawl-2-9,is a subset of,IYS2022-NW-2-1-CanTrawl-2
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-3-rr-019,IYS2022-NW-2-1-CanTrawl-3-19,is a subset of,IYS2022-NW-2-1-CanTrawl-3
IYS2022-NW-2-1-CanTrawl,IYS2022-NW-2-1-CanTrawl-3-rr-020,IYS2022-NW-2-1-CanTrawl-3-20,is a subset of,IYS2022-NW-2-1-CanTrawl-3
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-1-rr-021,IYS2022-NW-2-2-CanTrawl-1-25,is a subset of,IYS2022-NW-2-2-CanTrawl-1
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-1-rr-022,IYS2022-NW-2-2-CanTrawl-1-26,is a subset of,IYS2022-NW-2-2-CanTrawl-1
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-1-rr-023,IYS2022-NW-2-2-CanTrawl-1-27,is a subset of,IYS2022-NW-2-2-CanTrawl-1
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-1-rr-024,IYS2022-NW-2-2-CanTrawl-1-28,is a subset of,IYS2022-NW-2-2-CanTrawl-1
IYS2022-NW-2-2-CanTrawl,IYS2022-NW-2-2-CanTrawl-1-rr-025,IYS2022-NW-2-2-CanTrawl-1-29,is a subset of,IYS2022-NW-2-2-CanTrawl-1
